Journal,Impact Factor,Online First Queue
"[Medicine, Health Care and Philosophy](https://link.springer.com/journal/11019/online-first)",2.3,12
[Phenomenology and the Cognitive Sciences](https://link.springer.com/journal/11097/online-first),2.0,143
[Review of Philosophy and Psychology](https://link.springer.com/journal/13164/online-first),1.8,51
[Biology and Philosophy](https://link.springer.com/journal/10539),1.7,0
[History and Philosophy of the Life Sciences](https://link.springer.com/journal/40656/volumes-and-issues),1.6,0
[European Journal for Philosophy of Science](https://link.springer.com/journal/13194),1.5,0
[Topoi](https://link.springer.com/journal/11245/online-first),1.3,66
[Synthese](https://link.springer.com/journal/11229),1.3,0
[Journal for General Philosophy of Science](https://link.springer.com/journal/10838/online-first),1.2,14
[Continental Philosophy Review](https://link.springer.com/journal/11007/online-first),1.2,10
[Philosophical Studies](https://link.springer.com/journal/11098/online-first),1.1,74
[Philosophy of Management](https://link.springer.com/journal/40926),1.0,9
[Ethical Theory and Moral Practice](https://link.springer.com/journal/10677/online-first),1.0,52
[Res Publica](https://link.springer.com/journal/11158/online-first),0.9,40
[Theory and Decision](https://link.springer.com/journal/11238/online-first),0.9,20
[Erkenntnis](https://link.springer.com/journal/10670/online-first),0.9,199
[Husserl Studies](https://link.springer.com/journal/10670/online-first),0.9,6
[Law and Philosophy](https://link.springer.com/journal/10670/online-first),0.8,15
[Criminal Law and Philosophy](https://link.springer.com/journal/11572/online-first),0.7,31
[Journal of Philosophical Logic](https://link.springer.com/journal/10992/online-first),0.7,9
[Social Choice and Welfare](https://link.springer.com/journal/355/online-first),0.5,41
[Acta Analytica](https://link.springer.com/journal/12136/online-first),0.3,24