"journal","n_total","mean_cites_colon_FALSE","mean_cites_colon_TRUE","n_colon_FALSE","n_colon_TRUE","colon_effect","colon_advantage","overall_mean"
"Philosophical Review",101,2.21822660098522,1.48687641723356,87,14,-0.731350183751662,FALSE,2.11685132798994
"Noûs",413,1.99892814009662,2.49371252204586,368,45,0.494784381949237,TRUE,2.05283927130174
"Journal of Political Philosophy",217,0.775399659863946,0.398917748917749,140,77,-0.376481910946197,FALSE,0.641809304366908
"Mind",328,1.50727419081512,1.2152566700439,281,47,-0.292017520771212,FALSE,1.46543021680217
"Journal of Philosophy",247,0.93464981569247,1.22091049382716,211,36,0.286260678134691,TRUE,0.976372019793072
"Kennedy Institute of Ethics Journal",160,0.404962962962963,0.143193277310924,75,85,-0.261769685652039,FALSE,0.265897817460317
"Philosophical Perspectives",129,1.04469759168035,0.799206349206349,116,13,-0.245491242474001,FALSE,1.01995816414421
"Journal of Consciousness Studies",663,0.275431893687708,0.516887125220459,645,18,0.24145523153275,TRUE,0.281987239340181
"Journal of Philosophical Logic",433,0.69233870967742,0.922332812906583,372,61,0.229994103229164,TRUE,0.724739726529565
"Social Epistemology",419,0.586733445213622,0.375617972883598,227,192,-0.211115472330024,FALSE,0.489993181043301
"Philosophical Quarterly",453,0.810615864639611,0.600852638352638,379,74,-0.209763226286973,FALSE,0.776349907144609
"Inquiry",578,1.09413630011824,0.890388007054674,443,135,-0.203748293063567,FALSE,1.0465480309771
"Episteme",364,1.07033830367164,1.26463515754561,297,67,0.194296853873968,TRUE,1.10610173556602
"Res Philosophica",293,0.350614799910574,0.15797123015873,213,80,-0.192643569751844,FALSE,0.298015873015873
"Philosophy Compass",651,0.444725125822687,0.254724033458473,410,241,-0.190001092364214,FALSE,0.374386779801527
"Australasian Journal of Philosophy",531,0.974819786229182,0.797699357520786,447,84,-0.177120428708396,FALSE,0.946800735360057
"Hypatia",419,0.375103415103415,0.200364016997875,165,254,-0.17473939810554,FALSE,0.269175474485737
"Utilitas",237,0.430637125220458,0.260171261487051,180,57,-0.170465863733408,FALSE,0.389639006094702
"Journal of the American Philosophical Association",341,0.608293054063731,0.773328042328042,266,75,0.165034988264312,TRUE,0.644591072010427
"Journal of Aesthetics and Art Criticism",317,0.41935013168197,0.25596082404593,223,94,-0.16338930763604,FALSE,0.370900305442892
"Ergo",386,0.518442582794434,0.678654633896569,324,62,0.160212051102135,TRUE,0.544176124681306
"Studies in History and Philosophy of Science",745,0.530783891282732,0.388717015468608,431,314,-0.142066875814124,FALSE,0.470906040268457
"Journal of Philosophical Research",205,0.209781746031746,0.0732363315696649,160,45,-0.136545414462081,FALSE,0.179808362369338
"Philosophy & Public Affairs",130,1.23931566337227,1.10843253968254,106,24,-0.130883123689728,FALSE,1.21515262515263
"Canadian Journal of Philosophy",402,0.588767739702319,0.719410150891632,321,81,0.130642411189313,TRUE,0.615091210613599
"Philosophy of the Social Sciences",236,0.290756142639704,0.167045855379189,146,90,-0.123710287260516,FALSE,0.243578490718321
"British Journal for the Philosophy of Science",442,1.43144499178982,1.30884414049308,348,94,-0.122600851296743,FALSE,1.40537150757739
"Studia Logica",457,0.225126439464675,0.337787495950761,408,49,0.112661056486086,TRUE,0.237206071341739
"Philosophical Psychology",589,0.717294204503506,0.609107339305359,387,202,-0.108186865198147,FALSE,0.680191069070525
"Philosophy of Science",784,0.736379906692406,0.629117063492063,592,192,-0.107262843200343,FALSE,0.710111455296404
"Philosophical Studies",1745,0.910090822714061,0.803319902319902,1420,325,-0.106770920394159,FALSE,0.890205121207986
"Economics and Philosophy",201,0.588936063936064,0.484735905856595,143,58,-0.104200158079468,FALSE,0.558868356629551
"International Journal for Philosophy of Religion",311,0.154149911816578,0.052953119232189,225,86,-0.101196792584389,FALSE,0.126166232838259
"Journal of the History of Philosophy",256,0.283943655434883,0.188711484593838,171,85,-0.095232170841046,FALSE,0.252323598710317
"Theoria",334,0.244848842845026,0.150176366843033,262,72,-0.0946724760019925,FALSE,0.224440404904477
"Minds and Machines",293,0.54657848324515,0.452423093131058,180,113,-0.0941553901140924,FALSE,0.510265994907633
"Metaphilosophy",421,0.238085159989922,0.147757562144355,315,106,-0.0903275978455673,FALSE,0.215342344380349
"Topoi",762,0.437057387057387,0.350966386554622,507,255,-0.0860910005027651,FALSE,0.408247406574178
"Philosophical Explorations",244,0.371943310657596,0.45718311479181,175,69,0.0852398041342141,TRUE,0.396048009367681
"Social Philosophy and Policy",261,0.121636636636637,0.204788011695907,185,76,0.0831513750592698,TRUE,0.145849297573436
"Philosophical Investigations",211,0.194911816578483,0.116269841269841,135,76,-0.0786419753086419,FALSE,0.166585797036034
"European Journal for Philosophy of Science",480,0.289748047367095,0.213025493025493,315,165,-0.0767225543416016,FALSE,0.263374669312169
"Philosophia Mathematica",140,0.425912698412698,0.500224867724868,110,30,0.0743121693121693,TRUE,0.441836734693878
"Archiv für Geschichte der Philosophie",179,0.196702014138989,0.124298941798942,119,60,-0.0724030723400471,FALSE,0.172432827879755
"Thought",219,0.405865921787709,0.334335317460317,179,40,-0.071530604327392,FALSE,0.392800971225629
"Journal of Moral Philosophy",226,0.488522278623801,0.417337164750958,197,29,-0.0711851138728436,FALSE,0.47938790560472
"Ethics and Information Technology",408,0.263174603174603,0.193709437798108,205,203,-0.0694651653764949,FALSE,0.228612278244631
"Biology and Philosophy",469,0.269864357864358,0.339291850760923,275,194,0.069427492896565,TRUE,0.29858276643991
"American Philosophical Quarterly",280,0.445024801587302,0.378224206349206,240,40,-0.0668005952380953,FALSE,0.435481859410431
"Mind & Language",379,0.923999637877965,0.986966338259442,263,116,0.0629667003814769,TRUE,0.943271767810026
"Philosophical Papers",139,0.349635940002913,0.411666666666667,109,30,0.0620307266637541,TRUE,0.363023866620989
"History and Philosophy of Logic",206,0.186482820976492,0.248396164021164,158,48,0.0619133430446722,TRUE,0.200909231006318
"British Journal of Aesthetics",287,0.444213777465009,0.38265306122449,203,84,-0.0615607162405192,FALSE,0.426196006858028
"Erkenntnis",985,0.768722632731253,0.711735021561611,812,173,-0.0569876111696417,FALSE,0.758713641124808
"Analysis",496,0.596377912867274,0.539524896716677,423,73,-0.056853016150597,FALSE,0.588010432667691
"Monist",317,0.437725468975469,0.381508754704631,220,97,-0.0562167142708381,FALSE,0.420523509088178
"Bulletin of Symbolic Logic",147,0.199221495213862,0.145386904761905,131,16,-0.0538345904519569,FALSE,0.193361947953785
"Journal of Social Philosophy",301,0.326887077294686,0.274484466151133,184,117,-0.0524026111435533,FALSE,0.306517956019617
"Review of Metaphysics",192,0.0696936138796604,0.0216049382716049,129,63,-0.0480886756080554,FALSE,0.0539145171957672
"British Journal for the History of Philosophy",529,0.272421227197346,0.225805923744068,335,194,-0.0466153034532784,FALSE,0.255326011942269
"Kantian Review",246,0.353067564745196,0.308687943262411,152,94,-0.044379621482785,FALSE,0.336109497999742
"Ethical Theory and Moral Practice",591,0.450462962962963,0.4065930075734,438,153,-0.0438699553895633,FALSE,0.43910576639003
"Journal of the Philosophy of History",188,0.102435355862775,0.145436507936508,124,64,0.0430011520737327,TRUE,0.117074045930429
"Kant-Studien",235,0.207379636937648,0.165836272780717,181,54,-0.0415433641569308,FALSE,0.197833502195204
"Pacific Philosophical Quarterly",377,0.654956501831502,0.615140415140415,312,65,-0.0398160866910866,FALSE,0.648091659298556
"Notre Dame Journal of Formal Logic",301,0.170411969263559,0.209744268077601,283,18,0.039332298814042,TRUE,0.172764066867057
"Phronesis",154,0.19612530649116,0.156938044034818,123,31,-0.0391872624563419,FALSE,0.188236961451247
"Politics, Philosophy and Economics",189,0.378144705370733,0.339950166112957,146,43,-0.0381945392577759,FALSE,0.369454942470816
"Russell",67,0.123878968253968,0.0860082304526749,40,27,-0.0378707378012934,FALSE,0.10861762615494
"Philosophy and Phenomenological Research",725,1.22629989980488,1.26180152277713,602,123,0.0355016229722491,TRUE,1.23232293377121
"Journal of Indian Philosophy",335,0.141923827259023,0.107404863654864,179,156,-0.0345189636041591,FALSE,0.125849324804549
"Journal of Symbolic Logic",739,0.126383886888089,0.095047619047619,714,25,-0.0313362678404695,FALSE,0.125323796636381
"Journal of Medical Ethics",1375,0.207192907192907,0.176030402758188,666,709,-0.0311625044347189,FALSE,0.191124386724387
"Philosophia",1119,0.207402434658074,0.17666394699105,798,321,-0.0307384876670239,FALSE,0.198584691547158
"Logique et Analyse",139,0.0745264772575697,0.0448412698412698,119,20,-0.0296852074162998,FALSE,0.070255224391915
"Philosophy",234,0.187116256759114,0.213858363858364,182,52,0.02674210709925,TRUE,0.193058947225614
"Philosophy East and West",441,0.0906252624506593,0.0639943940539179,189,252,-0.0266308683967414,FALSE,0.075407623366807
"European Journal of Philosophy",655,0.400597418454561,0.426428571428571,455,200,0.0258311529740101,TRUE,0.408484793408457
"Philosophers' Imprint",294,0.859678587894356,0.885092842168314,241,53,0.0254142542739582,TRUE,0.864260069107008
"Ratio",299,0.383111300075586,0.358316447146234,252,47,-0.0247948529293514,FALSE,0.379213781387694
"Southern Journal of Philosophy",329,0.252464387464387,0.228482587064677,195,134,-0.0239818003997108,FALSE,0.242696724079703
"Review of Symbolic Logic",363,0.593670759708495,0.571887125220459,318,45,-0.0217836344880369,FALSE,0.590970309152127
"International Philosophical Quarterly",222,0.0337528344671202,0.0549893534649632,140,82,0.021236518997843,TRUE,0.0415969540969541
"South African Journal of Philosophy",346,0.0965247095401735,0.0766734544695071,194,152,-0.0198512550706664,FALSE,0.0878039269657767
"Philosophical Forum",221,0.0783816425120773,0.0964285714285714,161,60,0.0180469289164942,TRUE,0.0832812612224377
"Ethics",241,1.16329365079365,1.18106701940035,196,45,0.0177733686067021,TRUE,1.16661232957913
"Heythrop Journal",574,0.0354292642983119,0.0178053830227743,252,322,-0.0176238812755376,FALSE,0.0255426967534981
"Journal of the History of Ideas",291,0.0392606516290727,0.0217808551992225,95,196,-0.0174797964298501,FALSE,0.0274873179512355
"Synthese",4051,0.546525269111467,0.563966597241946,3045,1006,0.0174413281304798,TRUE,0.550856539439599
"Analytic Philosophy",190,0.643443963443963,0.659904761904762,165,25,0.0164607984607985,TRUE,0.645609857978279
"Journal of Applied Philosophy",477,0.393294243070362,0.377590543259557,335,142,-0.015703699810805,FALSE,0.388619347109913
"Journal of Value Inquiry",355,0.203474823137744,0.214231601731602,267,88,0.0107567785938573,TRUE,0.20614129219763
"Theory and Decision",558,0.050727818008924,0.0593189964157706,434,124,0.00859117840684661,TRUE,0.052636968766001
"Dialogue",333,0.0870321379580639,0.0787566137566137,243,90,-0.00827552420145015,FALSE,0.0847955097955098
"Law and Philosophy",234,0.168239361184146,0.173736865638274,163,71,0.00549750445412767,TRUE,0.169907407407407
"Journal of Chinese Philosophy",192,0.0304220085470086,0.0331574675324676,104,88,0.00273545898545898,TRUE,0.0316757605820106
"Linguistics and Philosophy",232,0.448059163059163,0.450527126273395,165,67,0.00246796321423193,TRUE,0.448771893814997
"Philosophy and Rhetoric",229,0.066783988957902,0.0658973823447508,115,114,-0.000886606613151222,FALSE,0.0663426214736258
"Transactions of the Charles S. Peirce Society",208,0.0800793650793652,0.0792217813051147,100,108,-0.000857583774250492,FALSE,0.0796340811965812
"Croatian Journal of Philosophy",221,0.0775074404761905,0.0773289097059589,160,61,-0.000178530770231625,FALSE,0.0774581627522804
