"","old","NPS","PS","year","displayauth","title"
"1","10.2307_2024717",184,23,1971,"Harry G. Frankfurt","Freedom of the Will and the Concept of a Person"
"2","10.2307_2024924",92,8,1974,"Michael Friedman","Explanation and Scientific Understanding"
"3","10.2307_2025075",106,10,1973,"Paul Benacerraf","Mathematical Truth"
"4","10.2307_2025079",52,4,1973,"Hilary Putnam","Meaning and Reference"
"5","10.2307_2025107",45,5,1973,"Tyler Burge","Reference and Proper Names"
"6","10.2307_2025161",54,2,1974,"Isaac Levi","On Indeterminate Probabilities"
"7","10.2307_2025310",170,18,1973,"David Lewis","Causation"
"8","WOS:000070778500002",69,1,1997,"Derek Parfit","Equality and Priority"
"9","WOS:000072502200001",60,7,1998,"Earl Conee and Richard Feldman","The Generality Problem for Reliabilism"
"10","WOS:000072823100011",52,11,1998,"Alexander Bird","Dispositions and Antidotes"
"11","WOS:000073222300002",234,9,1998,"Andy Clark and David J. Chalmers","The Extended Mind"
"12","WOS:000073255600004",42,11,1998,"Sydney Shoemaker","Causal and Metaphysical Necessity"
"13","WOS:000073836400005",51,3,1998,"Rae Langton and David Lewis","Defining 'Intrinsic'"
"14","WOS:000075762200001",56,8,1998,"Nathan Salmon","Nonexistence"
"15","WOS:000076086400005",71,4,1998,"James Ladyman","What is Structural Realism?"
"16","WOS:000077322700001",42,13,1998,"Ned Markosian","Brutal Composition"
"17","WOS:000077956100002",124,8,1998,"James M. Joyce","A Nonpragmatic Vindication of Probabilism"
"18","WOS:000078432400003",180,6,1999,"Elizabeth S. Anderson","What is the Point of Equality?"
"19","WOS:000078432400004",60,3,1999,"J. David Velleman","Love as a Moral Emotion"
"20","WOS:000080550400001",56,3,1999,"William Bechtal and Jennifer Mundale","Multiple Realizability Revisited: Linking Cognitive and Neural States"
"21","WOS:000082592000002",62,5,1999,"Jaegwon Kim","Making Sense of Emergence"
"22","WOS:000082596900001",47,4,1999,"John Hyman","How Knowledge Works"
"23","WOS:000083295800029",54,4,1999,"Brandon Fitelson","The Plurality of Bayesian Measures of Confirmation and the Problem of Measure Sensitivity"
"24","WOS:000084073700005",88,19,1999,"John Broome","Normative Requirements"
"25","WOS:000084347100001",59,12,1999,"Ned Block and Robert C. Stalnaker","Conceptual Analysis, Dualism, and the Explanatory Gap"
"26","WOS:000085004900001",58,2,2000,"Tamar Szabò Gendler","The Puzzle of Imaginative Resistance"
"27","WOS:000085841900002",58,7,2000,"Sally Haslanger","Gender and Race: (What) Are They? (What) Do We Want Them To Be?"
"28","WOS:000086383700001",67,7,2000,"Adam Elga","Self-Locating Belief and the 'Sleeping Beauty' Problem"
"29","WOS:000087151200013",47,10,2000,"Richard Feldman","The Ethics of Belief"
"30","WOS:000087305900001",272,8,2000,"Peter Machamer, Lindley Darden, and Carl F. Craver","Thinking About Mechanisms"
"31","WOS:000087998300003",91,5,2000,"Justin D'Arms and Dan Jacobson","The Moralistic Fallacy: On the 'Appropriateness' of Emotions"
"32","WOS:000088534100002",63,5,2000,"Jason Stanley","Context and Logical Form"
"33","WOS:000088616400001",69,13,2000,"Jason Stanley and Zoltán Gendler Szabó","On Quantifier Domain Restriction"
"34","WOS:000089124200002",90,10,2000,"David Lewis","Causation as Influence"
"35","WOS:000089440300003",48,5,2000,"Justin D'Arms and Dan Jacobson","Sentiment and Value"
"36","WOS:000165091000002",39,16,2000,"Jonathan Vogel","Reliabilism Leveled (Epistemic Justification and the Theory of Knowledge)"
"37","WOS:000165361800002",177,47,2000,"James Pryor","The Skeptic and the Dogmatist"
"38","WOS:000165795100001",53,3,2000,"Lawrence A. Shapiro","Multiple Realizations"
"39","WOS:000166575500001",68,1,2000,"Heather Douglas","Inductive Risk and Values in Science"
"40","WOS:000167688000003",56,4,2001,"Fred Adams and Ken Aizawa","The Bounds of Cognition"
"41","WOS:000169156400001",53,12,2001,"Christopher Hitchcock","The Intransitivity of Causation Revealed in Equations and Graphs"
"42","WOS:000169238500001",65,7,2000,"Richard Kimberly Heck","Nonconceptual Content and the 'Space of Reasons'"
"43","WOS:000170277300002",134,16,2001,"Jason Stanley and Timothy Williamson","Knowing How"
"44","WOS:000170434600004",64,3,2001,"Alvin I. Goldman","Experts: Which Ones Should You Trust?"
"45","WOS:000171488600002",68,20,2001,"Alex Byrne","Intentionalism Defended"
"46","WOS:000172282100001",57,7,2001,"Patrick Rysiew","The Context-Sensitivity of Knowledge Attributions"
"47","WOS:000172282100006",52,9,2001,"David Lewis","Truthmaking and Difference-Making"
"48","WOS:000173660000001",51,0,2002,"Mohan Matthen and André Ariew","Two Ways of Thinking About Fitness and Natural Selection"
"49","WOS:000174282400008",47,8,2002,"Michael Tye","Representationalism and the Transparency of Experience"
"50","WOS:000174798400001",75,12,2001,"David J. Chalmers and Frank Jackson","Conceptual Analysis and Reductive Explanation"
"51","WOS:000175194800009",50,3,2002,"Christian List and Philip Pettit","Aggregating Sets of Judgments: An Impossibility Result"
"52","WOS:000175368800004",51,11,2002,"Eric Schwitzgebel","A Phenomenal, Dispositional Account of Belief"
"53","WOS:000177540500001",79,9,2002,"Ruth Chang","The Possibility of Parity"
"54","WOS:000177599500002",56,1,2001,"Michael Blake","Distributive Justice, State Coercion, and Autonomy"
"55","WOS:000177781700002",96,18,2002,"Michael G. F. Martin","The Transparency of Experience"
"56","WOS:000178572000004",51,1,2002,"Denis M. Walsh, Tim Lewens, and André Ariew","The Trials of Life: Natural Selection and Random Drift"
"57","WOS:000178597300004",78,31,2002,"Stewart Cohen","Basic Knowledge and the Problem of Easy Knowledge"
"58","WOS:000178597300005",63,8,2002,"Crispin Wright","(Anti-)Sceptics Simple and Subtle: G.E. Moore and John McDowell"
"59","WOS:000178763700030",88,0,2002,"Stuart Glennan","Rethinking Mechanistic Explanation"
"60","WOS:000179607800011",82,9,2002,"Robert C. Stalnaker","Common Ground"
"61","WOS:000180834900001",59,2,2003,"Samuel Scheffler","What is Egalitarianism?"
"62","WOS:000180855800001",53,3,2003,"James Woodward and Christopher Hitchcock","Explanatory Generalization, Part 1, a Counterfactual Account"
"63","WOS:000181094500003",103,17,2002,"Jeremy Fantl and Matthew McGrath","Evidence, Pragmatics, and Justification"
"64","WOS:000181177200001",48,3,2003,"Michael Strevens","The Role of the Priority Rule in Science"
"65","WOS:000182357000001",46,10,2003,"Kit Fine","The Non-Identity of a Material Thing and Its Matter"
"66","WOS:000183034300004",61,9,2003,"Thomas Kelly","Epistemic Rationality as Instrumental Rationality: A Critique"
"67","WOS:000183474800004",49,2,2003,"S French and James Ladyman","Remodelling Structural Realism: Quantum Physics and the Metaphysics of Structure"
"68","WOS:000183806600005",87,12,2003,"Joshua Knobe","Intentional Action and Side Effects in Ordinary Language"
"69","WOS:000183846000001",52,8,2003,"John MacFarlane","Future Contingents and Relative Truth"
"70","WOS:000184542900004",58,4,2003,"Karen Bennett","Why the Exclusion Problem Seems Intractable, and How, Just Maybe To Tract It"
"71","WOS:000184542900005",64,5,2003,"Jonathan Schaffer","Is There a Fundamental Level?"
"72","WOS:000184740400001",103,14,2003,"Keith DeRose","Assertion, Knowledge, and Context"
"73","WOS:000184910100001",51,10,2003,"Brian Weatherson","What Good Are Counterexamples?"
"74","WOS:000186731300001",84,1,2003,"Alan Hájek","What Conditional Probability Could Not Be"
"75","WOS:000188410400001",69,15,2003,"Tyler Burge","Perceptual Entitlement"
"76","WOS:000188660700003",89,13,2004,"Charles Travis","The Silence of the Senses"
"77","WOS:000207418900002",72,9,2006,"David Enoch","Agency, Shmagency: Why Normativity Won't Come From What is Constitutive of Action"
"78","WOS:000207419100002",66,10,2006,"Igor Douven","Assertion, Knowledge, and Rational Credibility"
"79","WOS:000207419200002",46,5,2007,"Theodore Sider","Parthood"
"80","WOS:000207419300002",157,16,2007,"David Christensen","Epistemology of Disagreement: The Good News"
"81","WOS:000208774400001",64,6,2011,"David Christensen","Disagreement, Question-Begging and Epistemic Self-Criticism"
"82","WOS:000209153800006",56,2,2011,"C. S. Jenkins","Is Metaphysical Dependence Irreflexive?"
"83","WOS:000222134800001",85,15,2004,"Wlodek Rabinowicz and Toni Rønnow‐Rasmussen","The Strike of the Demon: On Fitting Pro-Attitudes and Value"
"84","WOS:000223274200001",61,11,2004,"David Pitt","The Phenomenology of Cognition, Or, What is It Like To Think That P?"
"85","WOS:000223334900003",75,13,2004,"Michael G. F. Martin","The Limits of Self-Awareness"
"86","WOS:000223334900005",54,12,2004,"Mark Johnston","The Obscure Object of Hallucination"
"87","WOS:000223394300001",61,3,2003,"Niko Kolodny","Love as Valuing a Relationship"
"88","WOS:000223963700001",67,5,2004,"Robert D. Rupert","Challenges To the Hypothesis of Extended Cognition"
"89","WOS:000224335200001",91,11,2003,"Nishi Shah","How Truth Governs Belief"
"90","WOS:000227058600002",88,17,2005,"Angela M. Smith","Responsibility for Attitudes: Activity and Passivity in Mental Life"
"91","WOS:000227146300002",41,9,2005,"Michael Fara","Dispositions and Habituals"
"92","WOS:000228214500004",47,13,2005,"Timothy Williamson","Contextualism, Subject-Sensitive Invariantism and Knowledge of Knowledge"
"93","WOS:000228600800009",62,1,2004,"Ronald N. Giere","How Models Are Used To Represent Reality"
"94","WOS:000228926500001",75,1,2005,"Alan Baker","Are There Genuine Mathematical Explanations of Physical Phenomena?"
"95","WOS:000230439400003",46,6,2005,"Michael Bergmann","Defeaters and Higher-Level Requirements"
"96","WOS:000231037900002",120,34,2005,"Niko Kolodny","Why Be Rational?"
"97","WOS:000232227000003",46,4,2005,"Alva Noë","Against Intellectualism"
"98","WOS:000234431300006",165,19,2006,"Sharon Street","A Darwinian Dilemma for Realist Theories of Value"
"99","WOS:000234618400001",76,12,2005,"Pamela Hieronymi","The Wrong Kind of Reason"
"100","WOS:000236072000004",54,11,2006,"Pamela Hieronymi","Controlling Attitudes"
"101","WOS:000236414800001",89,11,2005,"Peter Lasersohn","Context Dependence, Disagreement, and Predicates of Personal Taste"
"102","WOS:000239748800001",51,12,2006,"Bill Brewer","Perception and Content"
"103","WOS:000239761400003",63,5,2006,"Hilary Greaves and David Wallace","Justifying Conditionalization: Conditionalization Maximizes Expected Epistemic Utility"
"104","WOS:000240474600003",74,9,2005,"Matthew Weiner","Must We Know What We Say?"
"105","WOS:000240474900002",62,14,2005,"Jonathan Schaffer","Contrastive Causation"
"106","WOS:000240552100001",49,12,2006,"Nishi Shah","A New Argument for Evidentialism"
"107","WOS:000240571800003",106,15,2005,"Nishi Shah and J. David Velleman","Doxastic Deliberation"
"108","WOS:000240833900003",47,5,2006,"Stephen R. Grimm","Is Understanding a Species of Knowledge?"
"109","WOS:000241604800002",61,6,2006,"Galen Strawson","Realistic Monism: Why Physicalism Entails Panpsychism"
"110","WOS:000242288200003",79,3,2006,"Carl F. Craver","When Mechanistic Models Explain"
"111","WOS:000243445600002",67,22,2006,"Roger White","Problems for Dogmatism"
"112","WOS:000244292800007",63,4,2006,"Peter Godfrey-Smith","The Strategy of Model-Based Science"
"113","WOS:000244463400002",69,8,2007,"John MacFarlane","Relativism and Disagreement"
"114","WOS:000244463400008",61,4,2007,"Ernest Sosa","Experimental Philosophy and Philosophical Intuition"
"115","WOS:000245217400004",43,12,2007,"Thomas M. Crisp","Presentism and the Grounding Objection"
"116","WOS:000245280800001",73,14,2007,"Andy Egan","Epistemic Modals, Relativism and Assertion"
"117","WOS:000246866000002",76,22,2007,"Michael Huemer","Compassionate Phenomenal Conservatism"
"118","WOS:000247062200001",68,7,2007,"Christopher Kennedy","Vagueness and Grammar: The Semantics of Relative and Absolute Gradable Adjectives"
"119","WOS:000247997500004",49,3,2007,"Michael Weisberg","Who is a Modeler?"
"120","WOS:000248623500005",55,1,2007,"Carl F. Craver and William Bechtel","Top-Down Causation Without Top-Down Causes"
"121","WOS:000249037400024",51,1,2006,"Michael Weisberg","Robustness Analysis"
"122","WOS:000249098300003",48,2,2007,"Carl Hoefer","The Third Way on Objective Probability: A Sceptic's Guide To Objective Chance"
"123","WOS:000249103800005",163,16,2007,"Adam Elga","Reflection and Disagreement"
"124","WOS:000249408500001",46,5,2007,"Michael Glanzberg","Context, Content, and Relativism"
"125","WOS:000249658200002",67,4,2007,"Duncan Pritchard","Anti-Luck Epistemology"
"126","WOS:000249658200007",57,5,2007,"Jennifer Lackey","Why We Don't Deserve Credit for Everything We Know"
"127","WOS:000250135300002",50,4,2007,"Peter B. M. Vranas","I Ought, Therefore I Can"
"128","WOS:000250577300003",50,3,2007,"Jeremy Fantl and Matthew McGrath","On Pragmatic Encroachment in Epistemology"
"129","WOS:000250773100002",99,14,2007,"Jennifer Lackey","Norms of Assertion"
"130","WOS:000250773100004",67,7,2007,"Shaun Nichols and Joshua Knobe","Moral Responsibility and Determinism: The Cognitive Science of Folk Intuitions"
"131","WOS:000251545300007",102,11,2007,"Seth Yalcin","Epistemic Modals"
"132","WOS:000252590700006",68,8,2008,"Stacey Swain, Joshua Alexander, and Jonathan M. Weinberg","The Instability of Philosophical Intuitions: Running Hot and Cold on Truetemp"
"133","WOS:000252713500001",52,9,2008,"Ross P. Cameron","Turtles All the Way Down: Regress, Priority and Fundamentality"
"134","WOS:000252978200003",46,7,2008,"Pamela Hieronymi","Responsibility for Believing"
"135","WOS:000253187500006",54,4,2008,"Scott Sturgeon","Reason and the Grain of Belief"
"136","WOS:000255137700002",84,1,2007,"Michael Weisberg","Three Kinds of Idealization"
"137","WOS:000255667800003",77,9,2007,"Tamina Stephenson","Judge Dependence, Epistemic Modals, and Predicates of Personal Taste"
"138","WOS:000255868500001",50,5,2008,"Jessica Brown","Subject-Sensitive Invariantism and the Knowledge Norm for Practical Reasoning"
"139","WOS:000260016800004",55,6,2008,"Tamar Szabò Gendler","Alief in Action (And Reaction)"
"140","WOS:000262577100002",56,9,2009,"John MacFarlane","Nonindexical Contextualism"
"141","WOS:000262624000001",138,16,2008,"John Hawthorne and Jason Stanley","Knowledge and Action"
"142","WOS:000262624000004",115,14,2008,"Tamar Szabò Gendler","Alief and Belief"
"143","WOS:000262858900004",54,11,2008,"Michael Fara","Masked Abilities and Compatibilism"
