"","old","NPS","PS","year","displayauth","title"
"144","WOS:000263525300005",37,13,2009,"Mark Schroeder","Means-End Coherence, Stringency, and Subjective Reasons"
"145","WOS:000268238100003",44,12,2009,"Alex Byrne","Experience and Content"
"146","WOS:000269013700008",52,1,2009,"Alan Baker","Mathematical Explanation in Science"
"147","WOS:000272164100003",42,9,2008,"Kai Von Fintel and Anthony S. Gillies","CIA Leaks"
"148","WOS:000272164200003",55,12,2008,"Eric Schwitzgebel","The Unreliability of Naive Introspection"
"149","WOS:000272374500002",48,2,2010,"Kevin J. S. Zollman","The Epistemic Benefit of Transient Diversity"
"150","WOS:000272855000002",143,38,2010,"Jonathan Schaffer","Monism: The Priority of the Whole"
"151","WOS:000273182700004",56,6,2009,"Alison Hills","Moral Testimony and Moral Epistemology"
"152","WOS:000273550900001",57,3,2010,"A. John Simmons","Ideal and Nonideal Theory"
"153","WOS:000275147000005",57,11,2010,"Jonathan Schaffer","The Least Discerning and Most Promiscuous Truthmaker"
"154","WOS:000275530000006",51,8,2010,"David Enoch","The Epistemological Challenge To Metanormative Realism: How Best To Understand It, and How To Cope With It"
"155","WOS:000275646800002",54,6,2010,"John Turri","On the Relationship Between Propositional and Doxastic Justification"
"156","WOS:000276017100004",48,2,2010,"Hannes Leitgeb and Richard Pettigrew","An Objective Justification of Bayesianism II: The Consequences of Minimizing Inaccuracy"
"157","WOS:000276319000003",46,5,2010,"Julia Markovits","Acting for the Right Reasons"
"158","WOS:000278111100001",66,3,2010,"James Woodward","Causation in Biology: Stability, Specificity, and the Choice of Levels of Explanation"
"159","WOS:000279171200004",47,3,2010,"Jonathan M. Weinberg, Chad Gonnerman, Cameron Buckner, and Joshua Alexander","Are Philosophers Expert Intuiters?"
"160","WOS:000279407600010",64,6,2010,"David Christensen","Higher-Order Evidence"
"161","WOS:000280778100001",75,9,2010,"Niko Kolodny and John MacFarlane","Ifs and Oughts"
"162","WOS:000284854700005",61,8,2010,"Eric Schwitzgebel","Acting Contrary To Our Professed Beliefs or the Gulf Between Occurrent Judgment and Dispositional Belief"
"163","WOS:000286680600012",51,3,2010,"James M. Joyce","A Defense of Imprecise Credences in Inference and Decision Making"
"164","WOS:000286680600020",39,11,2010,"Chris Tucker","Why Open-Minded People Should Endorse Dogmatism"
"165","WOS:000287526900005",47,12,2011,"Guy Kahane","Evolutionary Debunking Arguments"
"166","WOS:000289572300004",41,11,2011,"Karen Bennett","Construction Area (No Hard Hat Required)"
"167","WOS:000289948200002",54,1,2011,"Kristie Dotson","Tracking Epistemic Violence, Tracking Practices of Silencing"
"168","WOS:000294571800007",50,2,2011,"Timothy Sundell","Disagreements About Taste"
"169","WOS:000295159700002",54,4,2011,"David J. Chalmers","Verbal Disputes"
"170","WOS:000295735100004",59,0,2011,"David Michael Kaplan and Carl F. Craver","The Explanatory Force of Dynamical and Mathematical Models in Neuroscience: A Mechanistic Perspective"
"171","WOS:000298031500001",59,0,2011,"Gualtiero Piccinini and Carl Craver","Integrating Psychology and Neuroscience: Functional Analyses as Mechanism Sketches"
"172","WOS:000298592300002",57,11,2011,"Karen Bennett","By Our Bootstraps"
"173","WOS:000298593200002",48,10,2012,"Fiona Macpherson","Cognitive Penetration of Colour Experience: Rethinking the Issue in Light of An Indirect Mechanism"
"174","WOS:000302010200002",53,3,2012,"Eric Schwitzgebel and Fiery Cushman","Expertise in Moral Reasoning? Order Effects on Moral Judgment in Professional Philosophers and Non-Philosophers"
"175","WOS:000304136000001",43,9,2012,"Susanna Siegel","Cognitive Penetrability and Perceptual Justification"
"176","WOS:000311002900002",83,11,2012,"Duncan Pritchard","Anti-Luck Virtue Epistemology"
"177","WOS:000318890500001",57,17,2012,"Paul Audi","Grounding: Toward a Theory of the In-Virtue-Of Relation"
"178","WOS:000324866000001",42,9,2013,"Louis deRosset","Grounding Explanations"
"179","WOS:000326701100003",41,9,2013,"Kelly Trogdon","Grounding: Necessary or Contingent?"
"180","WOS:000332023600001",61,4,2013,"David Plunkett and Tim Sundell","Disagreement and the Semantics of Normative and Evaluative Terms"
"181","WOS:000334424500001",51,6,2014,"Miriam Schoenfield","Permission To Believe: Why Permissivism is True and What It Tells Us About Irrelevant Influences on Belief"
"182","WOS:000337746400004",49,1,2014,"Robert W. Batterman and Collin C. Rice","Minimal Model Explanations"
"183","WOS:000344393500001",67,15,2014,"Jessica M. Wilson","No Work for a Theory of Grounding"
"184","WOS:000368189400004",45,11,2016,"Jonathan Schaffer","Grounding in the Image of Causation"
"185","WOS:A1956CEQ2500001",41,10,1956,"Willard van Orman Quine","Quantifiers and Propositional Attitudes"
"186","WOS:A1956CHJ4400001",59,2,1956,"Gottlob Frege","The Thought: A Logical Inquiry"
"187","WOS:A1957CGZ6000005",111,6,1957,"H. P. Grice","Meaning"
"188","WOS:A1958CDL1000001",77,6,1958,"G. E. M. Anscombe","Modern Moral Philosophy"
"189","WOS:A1959CGZ6600001",71,6,1959,"J. J. C. Smart","Sensations and Brain Processes"
"190","WOS:A1963CEU0700001",114,12,1963,"Donald Davidson","Actions, Reasons, and Causes"
"191","WOS:A1965CGZ7300005",87,14,1965,"Paul Benacerraf","What Numbers Could Not Be"
"192","WOS:A1965CGZ7300007",64,8,1965,"Gilbert Harman","The Inference To the Best Explanation"
"193","WOS:A1965CGZ7600002",44,6,1965,"Peter T. Geach","Assertion"
"194","WOS:A1966ZC83800001",104,14,1966,"Keith S. Donnellan","Reference and Definite Descriptions"
"195","WOS:A1967ZC33900001",44,8,1967,"Alvin I. Goldman","A Causal Theory of Knowing"
"196","WOS:A1968ZE29500001",77,7,1968,"David Lewis","Counterpart Theory and Quantified Modal Logic"
"197","WOS:A1968ZE30900001",52,4,1968,"Sydney Shoemaker","Self-Reference and Self-Awareness"
"198","WOS:A1969Y444700002",210,39,1969,"Harry G. Frankfurt","Alternate Possibilities and Moral Responsibility"
"199","WOS:A1970Y384700002",83,1,1970,"Kendall L. Walton","Categories of Art"
"200","WOS:A1970ZE32700001",82,13,1970,"David Lewis","How To Define Theoretical Terms"
"201","WOS:A1970ZE33800001",125,23,1970,"Fred Dretske","Epistemic Operators"
"202","WOS:A1971Y036400001",49,3,1971,"Derek Parfit","Personal Identity"
"203","WOS:A1971Y116900003",94,1,1971,"Judith Jarvis Thomson","A Defense of Abortion"
"204","WOS:A1972N845400002",54,12,1972,"Philippa Foot","Morality as a System of Hypothetical Imperatives"
"205","WOS:A1972Z066400001",197,9,1972,"Peter Singer","Famine, Affluence, and Morality"
"206","WOS:A1973P242100001",64,3,1973,"Larry Wright","Functions"
"207","WOS:A1974U469700001",234,24,1974,"Thomas Nagel","What is It Like To Be a Bat"
"208","WOS:A1975AU08300005",48,8,1975,"Allan Gibbard","Contingent Identity"
"209","WOS:A1975BF60000005",149,5,1975,"Saul Kripke","Outline of a Theory of Truth"
"210","WOS:A1975BF60100001",117,7,1975,"Robert Cummins","Functional Analysis"
"211","WOS:A1975LD17700007",59,5,1975,"Robert C. Stalnaker","Indicative Conditionals"
"212","WOS:A1975W282300001",82,14,1975,"Gary Watson","Free Agency"
"213","WOS:A1976BF01500006",62,7,1976,"David Lewis","Paradoxes of Time Travel"
"214","WOS:A1976BZ95100001",77,5,1976,"David Lewis","Probabilities of Conditionals and Conditional Probabilities"
"215","WOS:A1976CP00100001",130,22,1976,"Alvin I. Goldman","Discrimination and Perceptual Knowledge"
"216","WOS:A1977DN52600007",53,7,1977,"Fred Dretske","Laws of Nature"
"217","WOS:A1977DX39800001",50,5,1977,"John M. Taurek","Should the Numbers Count?"
"218","WOS:A1977EA01800002",53,5,1977,"John Perry","Frege on Demonstratives"
"219","WOS:A1977EA35800003",92,5,1977,"Stephen L. Darwall","Two Kinds of Respect"
"220","WOS:A1977EQ83600001",56,6,1977,"Michael Tooley","Nature of Laws"
"221","WOS:A1977ES93500003",60,2,1977,"Christopher Boorse","Health as a Theoretical Concept"
"222","WOS:A1978ER30500004",72,5,1978,"David Lewis","Truth in Fiction"
"223","WOS:A1979GF70700001",47,7,1979,"Robert Merrihew Adams","Primitive Thisness and Primitive Identity"
"224","WOS:A1979GW33200004",85,3,1979,"Graham Priest","The Logic of Paradox"
"225","WOS:A1979HE39600001",144,12,1979,"John Perry","The Problem of the Essential Indexical"
"226","WOS:A1979HJ57600007",134,16,1979,"David Lewis","Scorekeeping in a Language Game"
"227","WOS:A1979HY94200003",54,5,1979,"Michael Stocker","Desiring the Bad: Essay in Moral Psychology"
"228","WOS:A1979JB14500003",124,26,1979,"David Lewis","Counterfactual Dependence and Time's Arrow"
"229","WOS:A1979JC64200001",162,21,1979,"David Lewis","Attitudes De Dicto and De Se"
"230","WOS:A1979JT33600005",79,6,1979,"John McDowell","Virtue and Reason"
"231","WOS:A1980KH88100001",51,3,1980,"John Rawls","Kantian Constructivism in Moral Theory"
"232","WOS:A1981LD54600001",82,5,1981,"Paul M. Churchland","Eliminative Materialism and the Propositional Attitudes"
"233","WOS:A1981LH67300001",67,2,1981,"Jon Barwise and Robin Cooper","Generalized Quantifiers and Natural-Language"
"234","WOS:A1981LW58400001",62,2,1981,"David Lewis","Causal Decision Theory"
"235","WOS:A1981LY92900002",119,1,1981,"Larry Laudan","A Confutation of Convergent Realism"
"236","WOS:A1981MH21100001",63,2,1981,"Ronald Dworkin","What is Equality? Part 2: Equality of Resources"
"237","WOS:A1981NA08400001",103,3,1981,"Philip Kitcher","Explanatory Unification"
"238","WOS:A1982NH65300003",164,27,1982,"Frank Jackson","Epiphenomenal Qualia"
"239","WOS:A1982NS00700005",52,4,1982,"Elizabeth W. Prior, Robert Pargetter, and Frank Jackson","Three Theses About Dispositions"
"240","WOS:A1982PB73200001",47,10,1982,"Susan Wolf","Moral Saints"
"241","WOS:A1983PX89100011",67,9,1983,"Gregory S. Kavka","The Toxin Puzzle"
"242","WOS:A1983QN98800001",57,9,1983,"Christine M. Korsgaard","Two Distinctions in Goodness"
"243","WOS:A1983RR51600001",290,39,1983,"David Lewis","New Work for a Theory of Universals"
"244","WOS:A1983SU49200007",95,7,1983,"Joseph Levine","Materialism and Qualia: The Explanatory Gap"
"245","WOS:A1984SH40600002",75,7,1984,"Peter Railton","Alienation, Consequentialism, and the Demands of Morality"
"246","WOS:A1984SS95000001",77,11,1984,"Bas C. van Fraassen","Belief and the Will"
"247","WOS:A1984TE24500002",69,7,1984,"George Boolos","To Be is To Be a Value of a Variable (Or To Be Some Values of Some Variables)"
"248","WOS:A1984TN86300001",68,16,1984,"Stewart Cohen","Justification and Truth"
"249","WOS:A1984TQ70900001",82,14,1984,"David Lewis","Putnam's Paradox"
"250","WOS:A1985AKA2200025",124,0,1985,"Carlos E. Alchourrón, Peter Gärdenfors, and David Makinson","On the Logic of Theory Change: Partial Meet Contraction and Revision Functions"
"251","WOS:A1985ALK4200001",63,0,1985,"John Hardwig","Epistemic Dependence"
"252","WOS:A1985ANT6600002",74,16,1985,"Richard Feldman and Earl Conee","Evidentialism"
"253","WOS:A1985AQZ7400002",58,6,1985,"Vann McGee","A Counterexample To Modus Ponens"
"254","WOS:A1985ARQ5600003",71,2,1985,"Ernan McMullin","Galilean Idealization"
"255","WOS:A1986AYQ1300001",74,8,1986,"Christine M. Korsgaard","Skepticism About Practical Reason"
"256","WOS:A1986AYY3900001",55,3,1986,"Annette Baier","Trust and Antitrust"
"257","WOS:A1986C044900001",75,18,1986,"Peter Railton","Moral Realism"
"258","WOS:A1986C044900003",53,8,1986,"Frank Jackson and Robert Pargetter","Oughts, Options, and Actualism"
"259","WOS:A1987F993300003",48,9,1987,"Michael Smith","The Humean Theory of Motivation"
"260","WOS:A1988M958800004",55,0,1988,"Adam Grove","Two Modelings for Theory Change"
"261","WOS:A1988N938600001",65,1,1988,"James Bogen and James Woodward","Saving the Phenomena"
"262","WOS:A1989AA09400006",68,3,1989,"Ruth Garrett Millikan","In Defense of Proper Functions"
"263","WOS:A1989AE70300010",107,4,1989,"G. A. Cohen","On the Currency of Egalitarian Justice"
"264","WOS:A1989T231400005",53,10,1989,"Paul A. Boghossian and J. David Velleman","Color as a Secondary Quality"
"265","WOS:A1989U808000004",57,3,1989,"Richard J. Arneson","Equality and Equal Opportunity for Welfare"
"266","WOS:A1989U850300001",52,9,1989,"Ruth Garrett Millikan","Biosemantics"
"267","WOS:A1990CH71200001",70,3,1990,"Philip Kitcher","The Division of Cognitive Labor"
"268","WOS:A1990CR32400008",47,6,1990,"Frank Jackson and Philip Pettit","Program Explanation: A General Perspective"
"269","WOS:A1990EK23400001",46,4,1990,"Jamie Dreier","Internalism and Speaker Relativism"
"270","WOS:A1991EN62900002",63,6,1991,"Daniel C. Dennett","Real Patterns"
"271","WOS:A1991EV09800002",50,5,1991,"Jeroen Groenendijk and Martin Stokhof","Dynamic Predicate Logic"
"272","WOS:A1991FC38500010",64,4,1991,"Richard Boyd","Realism, Anti-foundationalism and the Enthusiasm for Natural Kinds"
"273","WOS:A1991FK52800001",74,6,1991,"Frank Jackson","Decision-theoretic Consequentialism and the Nearest and Dearest Objection"
"274","WOS:A1991FQ15000002",69,4,1991,"Karen Neander","Functions as Selected Effects: The Conceptual Analyst's Defense"
"275","WOS:A1991GL32100002",55,9,1991,"Keith DeRose","Epistemic Possibilities"
"276","WOS:A1991GR79400001",59,2,1991,"Judith Jarvis Thomson","Self-Defense"
"277","WOS:A1991GR87800001",52,0,1991,"John Hardwig","The Role of Trust in Knowledge"
"278","WOS:A1992JA62400001",106,17,1992,"Stephen Yablo","Mental Causation"
"279","WOS:A1992JA62400003",47,3,1992,"Michael E. Bratman","Shared Cooperative Activity"
"280","WOS:A1992KB29500008",101,14,1992,"Keith DeRose","Contextualism and Knowledge Attributions"
"281","WOS:A1992KC39800002",107,25,1992,"Mark Johnston","How To Speak of the Colors"
"282","WOS:A1993KQ63200001",58,11,1993,"Stephen Yablo","Is Conceivability a Guide To Possibility"
"283","WOS:A1993ML38000001",119,9,1993,"Tyler Burge","Content Preservation"
"284","WOS:A1994MT56900001",73,16,1994,"C. B. Martin","Dispositions and Conditionals"
"285","WOS:A1994NQ78600001",57,2,1994,"Malcom Forster and Elliot Sober","How To Tell When Simpler, More Unified, or Less _Ad Hoc_ Theories Will Provide More Accurate Predictions"
"286","WOS:A1994PM10400005",116,22,1994,"David Lewis","Humean Supervenience Debugged"
"287","WOS:A1995QX94800001",84,12,1995,"Dorothy Edgington","On Conditionals"
"288","WOS:A1995RC31600001",122,10,1995,"Keith DeRose","Solving the Skeptical Problem"
"289","WOS:A1996UV93000001",69,4,1996,"Frank Veltman","Defaults in Update Semantics"
"290","WOS:A1996VL52500002",54,4,1996,"Karen Jones","Trust as An Affective Attitude"
"291","WOS:A1996VY21200001",194,36,1996,"David Lewis","Elusive Knowledge"
"292","WOS:A1996XR76100003",58,10,1996,"Timothy Williamson","Knowing and Asserting"
"293","WOS:A1997WP33800001",86,27,1997,"David Lewis","Finkish Dispositions"
