"","word","year","count","appear","topic","all_ps_words","all_ps_articles","ps_word_rate","ps_appear_rate","ps_topic_rate","t20_count","t20_appear","t20_topic","t20_articles","t20_words","t20_word_rate","t20_appear_rate","t20_topic_rate"
"1","aaron",1980,0,0,0,321690,85,0,0,0,7,4,0,636,4201959,0.00166588964813793,0.00628930817610063,0
"2","aaron",1981,2,2,0,309091,59,0.00647058633218049,0.0338983050847458,0,6,5,0,649,4426794,0.001355382699082,0.00770416024653313,0
"3","aaron",1982,0,0,0,301023,58,0,0,0,11,4,0,646,4499297,0.00244482638065458,0.00619195046439629,0
"4","aaron",1983,0,0,0,314221,59,0,0,0,12,4,0,664,4488869,0.00267327917121217,0.00602409638554217,0
"5","aaron",1984,0,0,0,326329,58,0,0,0,28,7,0,623,4487044,0.006240188418032,0.0112359550561798,0
"6","aaron",1985,3,1,0,322773,59,0.00929445771486463,0.0169491525423729,0,8,5,0,672,4793402,0.00166896079235583,0.00744047619047619,0
"7","aaron",1986,0,0,0,321383,52,0,0,0,11,4,0,661,4872850,0.0022574058302636,0.00605143721633888,0
"8","aaron",1987,9,1,0,315429,47,0.0285325699285735,0.0212765957446809,0,13,5,0,643,4728494,0.00274928973157204,0.00777604976671851,0
"9","aaron",1988,0,0,0,303362,47,0,0,0,12,6,0,613,4657976,0.00257622624075349,0.0097879282218597,0
"10","aaron",1989,0,0,0,342301,60,0,0,0,2,2,0,623,4915529,0.0004068738074783,0.00321027287319422,0
"11","aaron",1990,0,0,0,328839,53,0,0,0,29,8,1,583,4772542,0.00607642635727459,0.0137221269296741,0.00171526586620926
"12","aaron",1991,0,0,0,461067,75,0,0,0,4,3,0,655,5099321,0.000784418160770816,0.00458015267175573,0
"13","aaron",1992,0,0,0,477662,70,0,0,0,5,3,0,593,5088630,0.000982582738379485,0.00505902192242833,0
"14","aaron",1993,0,0,0,460826,66,0,0,0,6,4,0,624,5170361,0.001160460555849,0.00641025641025641,0
"15","aaron",1994,0,0,0,462952,68,0,0,0,4,4,0,645,5424220,0.000737433216204357,0.0062015503875969,0
"16","aaron",1995,0,0,0,460327,60,0,0,0,0,0,0,600,5414433,0,0,0
"17","aaron",1996,1,1,0,474983,61,0.00210533850685182,0.0163934426229508,0,5,4,0,631,5414388,0.000923465403661503,0.0063391442155309,0
"18","aaron",1997,0,0,0,422701,54,0,0,0,11,6,0,620,5298755,0.00207595935271587,0.00967741935483871,0
"19","aaron",1998,2,1,0,496499,70,0.00402820549487512,0.0142857142857143,0,21,9,0,657,5663788,0.00370776589801737,0.0136986301369863,0
"20","aaron",1999,1,1,0,483828,66,0.00206685020296469,0.0151515151515152,0,7,5,0,634,5609154,0.00124796003104925,0.00788643533123028,0
"21","aaron",2000,0,0,0,628301,74,0,0,0,12,6,0,667,5897962,0.00203460110458494,0.00899550224887556,0
"22","aaron",2001,0,0,0,570869,71,0,0,0,6,5,0,644,5900030,0.00101694398164077,0.0077639751552795,0
"23","aaron",2002,1,1,0,518138,78,0.00192998776387758,0.0128205128205128,0,5,4,0,654,5471717,0.000913789949297451,0.00611620795107034,0
"24","aaron",2003,0,0,0,480102,56,0,0,0,19,14,0,725,6464428,0.00293916182529993,0.0193103448275862,0
"25","aaron",2004,2,2,0,583026,63,0.00343037874811758,0.0317460317460317,0,26,12,1,663,6302167,0.00412556506357258,0.0180995475113122,0.00150829562594268
"26","aaron",2005,0,0,0,524163,65,0,0,0,44,9,2,714,6673373,0.0065933674020619,0.0126050420168067,0.00280112044817927
"27","aaron",2006,22,1,1,978999,114,0.0224719330663259,0.0087719298245614,0.0087719298245614,43,9,2,788,7393250,0.00581611605180401,0.0114213197969543,0.00253807106598985
"28","aaron",2007,22,3,1,863664,105,0.0254728690787158,0.0285714285714286,0.00952380952380952,52,18,2,782,7418460,0.00700954106377874,0.0230179028132992,0.00255754475703325
"29","aaron",2008,0,0,0,992529,121,0,0,0,31,20,0,796,7565287,0.00409766344621162,0.0251256281407035,0
"30","aaron",2009,4,3,0,1001479,121,0.00399409273684221,0.0247933884297521,0,29,22,0,833,7984217,0.00363216580912067,0.0264105642256903,0
"31","aaron",2010,2,2,0,1000539,128,0.00199892258072899,0.015625,0,42,16,1,849,7940206,0.00528953530928543,0.0188457008244994,0.00117785630153121
"32","aaron",2011,7,6,0,1015351,119,0.00689416763267087,0.0504201680672269,0,23,19,0,871,8073448,0.00284884475629248,0.0218140068886338,0
"33","aaron",2012,3,3,0,1085446,137,0.00276384085435849,0.0218978102189781,0,41,26,1,871,8001047,0.00512432935339587,0.0298507462686567,0.00114810562571757
"34","aaron",2013,14,7,0,2112565,262,0.00662701502675657,0.0267175572519084,0,84,22,2,1032,9781448,0.00858768558601957,0.0213178294573643,0.00193798449612403
"35","aaron",2014,6,3,0,1528605,182,0.00392514743835065,0.0164835164835165,0,40,25,0,932,9101408,0.0043949243897208,0.026824034334764,0
"36","aaron",2015,34,8,1,1593507,190,0.0213365865352333,0.0421052631578947,0.00526315789473684,75,35,2,882,8260930,0.00907888094923937,0.0396825396825397,0.00226757369614512
"37","aaron",2016,9,6,0,1567636,178,0.00574112868038244,0.0337078651685393,0,51,30,1,803,8476762,0.00601644826173013,0.037359900373599,0.0012453300124533
"38","aaron",2017,6,6,0,1416479,170,0.0042358552438829,0.0352941176470588,0,78,28,2,781,8065233,0.0096711403129953,0.0358514724711908,0.00256081946222791
"39","aaron",2018,11,8,0,1461326,155,0.00752741003718541,0.0516129032258065,0,78,41,0,825,8597866,0.00907201856832847,0.0496969696969697,0
"40","aaron",2019,13,9,0,1504713,156,0.00863952129077106,0.0576923076923077,0,79,45,0,801,8433336,0.0093675859707238,0.0561797752808989,0
"41","abandon",1980,6,4,0,321690,85,0.0186514967826168,0.0470588235294118,0,123,87,0,636,4201959,0.0292720609601379,0.136792452830189,0
"42","abandon",1981,10,6,0,309091,59,0.0323529316609025,0.101694915254237,0,142,89,0,649,4426794,0.0320773905449407,0.13713405238829,0
"43","abandon",1982,11,10,0,301023,58,0.0365420582480408,0.172413793103448,0,132,91,0,646,4499297,0.0293379165678549,0.140866873065015,0
"44","abandon",1983,8,7,0,314221,59,0.0254597878563177,0.11864406779661,0,120,92,0,664,4488869,0.0267327917121217,0.13855421686747,0
"45","abandon",1984,10,9,0,326329,58,0.0306439207057908,0.155172413793103,0,151,103,0,623,4487044,0.0336524446829583,0.165329052969502,0
"46","abandon",1985,15,8,0,322773,59,0.0464722885743231,0.135593220338983,0,118,88,0,672,4793402,0.0246171716872484,0.130952380952381,0
"47","abandon",1986,16,11,0,321383,52,0.0497848361612157,0.211538461538462,0,153,110,0,661,4872850,0.0313984629118483,0.166414523449319,0
"48","abandon",1987,12,9,0,315429,47,0.0380434265714313,0.191489361702128,0,158,100,0,643,4728494,0.0334144444298756,0.15552099533437,0
"49","abandon",1988,16,7,0,303362,47,0.0527422683131045,0.148936170212766,0,183,101,2,613,4657976,0.0392874501714908,0.164763458401305,0.0032626427406199
"50","abandon",1989,4,3,0,342301,60,0.0116856217188965,0.05,0,147,91,0,623,4915529,0.029905224849655,0.146067415730337,0
"51","abandon",1990,22,12,0,328839,53,0.0669020402081262,0.226415094339623,0,168,107,0,583,4772542,0.0352013664835218,0.183533447684391,0
"52","abandon",1991,15,12,0,461067,75,0.0325332326972002,0.16,0,164,114,0,655,5099321,0.0321611445916035,0.174045801526718,0
"53","abandon",1992,28,14,1,477662,70,0.0586188560111543,0.2,0.0142857142857143,159,99,1,593,5088630,0.0312461310804676,0.166947723440135,0.00168634064080944
"54","abandon",1993,16,11,0,460826,66,0.0347202631795949,0.166666666666667,0,170,107,0,624,5170361,0.032879715749055,0.171474358974359,0
"55","abandon",1994,23,12,0,462952,68,0.0496811764502583,0.176470588235294,0,175,115,0,645,5424220,0.0322627032089406,0.178294573643411,0
"56","abandon",1995,14,10,0,460327,60,0.0304131628168671,0.166666666666667,0,150,98,1,600,5414433,0.0277037318589038,0.163333333333333,0.00166666666666667
"57","abandon",1996,22,10,1,474983,61,0.0463174471507401,0.163934426229508,0.0163934426229508,166,109,1,631,5414388,0.0306590514015619,0.172741679873217,0.00158478605388273
"58","abandon",1997,18,9,0,422701,54,0.0425832917357659,0.166666666666667,0,170,109,0,620,5298755,0.0320830081783362,0.175806451612903,0
"59","abandon",1998,23,13,0,496499,70,0.0463243631910638,0.185714285714286,0,186,112,1,657,5663788,0.0328402122395824,0.170471841704718,0.0015220700152207
"60","abandon",1999,10,9,0,483828,66,0.0206685020296469,0.136363636363636,0,161,109,0,634,5609154,0.0287030807141326,0.17192429022082,0
"61","abandon",2000,18,15,0,628301,74,0.0286486890837353,0.202702702702703,0,164,101,1,667,5897962,0.0278062150959942,0.151424287856072,0.00149925037481259
"62","abandon",2001,21,13,0,570869,71,0.0367860227127415,0.183098591549296,0,214,107,1,644,5900030,0.0362710020118542,0.166149068322981,0.0015527950310559
"63","abandon",2002,24,13,0,518138,78,0.0463197063330619,0.166666666666667,0,159,103,0,654,5471717,0.0290585203876589,0.157492354740061,0
"64","abandon",2003,24,17,0,480102,56,0.0499893772573328,0.303571428571429,0,180,120,0,725,6464428,0.0278446909765257,0.16551724137931,0
"65","abandon",2004,11,8,0,583026,63,0.0188670831146467,0.126984126984127,0,180,108,1,663,6302167,0.0285616042862717,0.16289592760181,0.00150829562594268
"66","abandon",2005,14,10,0,524163,65,0.0267092488405324,0.153846153846154,0,175,109,0,714,6673373,0.0262236203491098,0.15266106442577,0
"67","abandon",2006,53,24,2,978999,114,0.0541369296597852,0.210526315789474,0.0175438596491228,223,133,2,788,7393250,0.0301626483616813,0.168781725888325,0.00253807106598985
"68","abandon",2007,31,22,0,863664,105,0.0358935882472814,0.20952380952381,0,220,133,2,782,7418460,0.0296557506544485,0.170076726342711,0.00255754475703325
"69","abandon",2008,21,18,0,992529,121,0.0211580719555801,0.148760330578512,0,131,105,0,796,7565287,0.0173159326275394,0.131909547738693,0
"70","abandon",2009,36,23,0,1001479,121,0.0359468346315799,0.190082644628099,0,202,125,1,833,7984217,0.0252999135669785,0.150060024009604,0.00120048019207683
"71","abandon",2010,38,26,0,1000539,128,0.0379795290338508,0.203125,0,178,125,0,849,7940206,0.0224175544060192,0.147232037691402,0
"72","abandon",2011,32,18,0,1015351,119,0.0315161948922097,0.151260504201681,0,210,133,0,871,8073448,0.0260111912531052,0.152698048220436,0
"73","abandon",2012,28,19,0,1085446,137,0.0257958479740125,0.138686131386861,0,170,121,0,871,8001047,0.021247219270178,0.138920780711825,0
"74","abandon",2013,90,51,1,2112565,262,0.0426022394577208,0.194656488549618,0.00381679389312977,232,145,1,1032,9781448,0.0237183697137683,0.140503875968992,0.000968992248062015
"75","abandon",2014,30,24,0,1528605,182,0.0196257371917533,0.131868131868132,0,230,160,0,932,9101408,0.0252708152408946,0.171673819742489,0
"76","abandon",2015,45,33,0,1593507,190,0.0282395998260441,0.173684210526316,0,197,129,0,882,8260930,0.0238471939600021,0.146258503401361,0
"77","abandon",2016,54,30,0,1567636,178,0.0344467720822946,0.168539325842697,0,185,107,1,803,8476762,0.0218243711454916,0.133250311332503,0.0012453300124533
"78","abandon",2017,31,26,0,1416479,170,0.021885252093395,0.152941176470588,0,156,113,0,781,8065233,0.0193422806259906,0.144686299615877,0
"79","abandon",2018,54,33,1,1461326,155,0.0369527401825465,0.212903225806452,0.00645161290322581,196,125,2,825,8597866,0.0227963543511844,0.151515151515152,0.00242424242424242
"80","abandon",2019,37,24,1,1504713,156,0.0245894067506561,0.153846153846154,0.00641025641025641,194,120,1,801,8433336,0.0230039452951952,0.149812734082397,0.00124843945068664
"81","abandoned",1980,2,1,0,321690,85,0.0062171655942056,0.0117647058823529,0,94,71,0,636,4201959,0.0223705181321379,0.111635220125786,0
"82","abandoned",1981,3,3,0,309091,59,0.00970587949827074,0.0508474576271186,0,84,68,0,649,4426794,0.018975357787148,0.104776579352851,0
"83","abandoned",1982,6,4,0,301023,58,0.0199320317716586,0.0689655172413793,0,79,56,0,646,4499297,0.0175582985519738,0.086687306501548,0
"84","abandoned",1983,3,3,0,314221,59,0.00954742044611913,0.0508474576271186,0,67,60,0,664,4488869,0.0149258087059346,0.0903614457831325,0
"85","abandoned",1984,4,4,0,326329,58,0.0122575682823163,0.0689655172413793,0,68,50,0,623,4487044,0.0151547433009349,0.0802568218298555,0
"86","abandoned",1985,5,2,0,322773,59,0.0154907628581077,0.0338983050847458,0,90,66,0,672,4793402,0.018775808914003,0.0982142857142857,0
"87","abandoned",1986,4,3,0,321383,52,0.0124462090403039,0.0576923076923077,0,101,69,1,661,4872850,0.0207270898960567,0.104387291981846,0.00151285930408472
"88","abandoned",1987,5,3,0,315429,47,0.0158514277380964,0.0638297872340425,0,92,70,0,643,4728494,0.0194565119465098,0.108864696734059,0
"89","abandoned",1988,9,4,0,303362,47,0.0296675259261213,0.0851063829787234,0,114,79,0,613,4657976,0.0244741492871582,0.128874388254486,0
"90","abandoned",1989,4,4,0,342301,60,0.0116856217188965,0.0666666666666667,0,92,68,0,623,4915529,0.0187161951440018,0.109149277688604,0
"91","abandoned",1990,3,3,0,328839,53,0.0091230054829263,0.0566037735849057,0,90,64,0,583,4772542,0.0188578749018867,0.109777015437393,0
"92","abandoned",1991,5,5,0,461067,75,0.0108444108990667,0.0666666666666667,0,94,68,0,655,5099321,0.0184338267781142,0.10381679389313,0
"93","abandoned",1992,9,8,0,477662,70,0.0188417751464425,0.114285714285714,0,113,79,0,593,5088630,0.0222063698873764,0.133220910623946,0
"94","abandoned",1993,1,1,0,460826,66,0.00217001644872468,0.0151515151515152,0,66,60,0,624,5170361,0.012765066114339,0.0961538461538462,0
"95","abandoned",1994,4,3,0,462952,68,0.00864020460004493,0.0441176470588235,0,88,66,0,645,5424220,0.0162235307564959,0.102325581395349,0
"96","abandoned",1995,8,5,0,460327,60,0.0173789501810669,0.0833333333333333,0,66,56,0,600,5414433,0.0121896420179177,0.0933333333333333,0
"97","abandoned",1996,8,6,0,474983,61,0.0168427080548146,0.0983606557377049,0,73,61,0,631,5414388,0.0134825948934579,0.0966719492868463,0
"98","abandoned",1997,6,5,0,422701,54,0.0141944305785886,0.0925925925925926,0,84,64,0,620,5298755,0.0158527805116485,0.103225806451613,0
"99","abandoned",1998,10,7,0,496499,70,0.0201410274743756,0.1,0,83,63,0,657,5663788,0.0146545033112115,0.0958904109589041,0
"100","abandoned",1999,5,5,0,483828,66,0.0103342510148234,0.0757575757575758,0,93,69,0,634,5609154,0.0165800404125114,0.108832807570978,0
"101","abandoned",2000,9,8,0,628301,74,0.0143243445418677,0.108108108108108,0,90,74,0,667,5897962,0.015259508284387,0.110944527736132,0
